entity_id	entity_name	homologous_taxon_name	property_id	property_name	target_entity_id	target_entity_name	taxon_id	taxon_name
UBERON_0000109	gastrula stage	Bilateria	BFO_0000050	part of	MmusDv_0000002	embryonic mouse stage (mouse)	NCBITaxon_10090	Mus musculus
UBERON_0000109	gastrula stage	Bilateria	BFO_0000050	part of	WBls_0000004	proliferating embryo Ce (C elegans)	NCBITaxon_6237	Caenorhabditis
UBERON_0000109	gastrula stage	Bilateria	BFO_0000050	part of	RnorDv_0000003	embryonic stage (rat)	NCBITaxon_10116	Rattus norvegicus
UBERON_0000473	testis	Vertebrata	BSPO_0000126	in_lateral_side_of	UBERON_0000468	multicellular organism	NCBITaxon_7742	Vertebrata <Metazoa>
UBERON_0000473	testis	Vertebrata	BFO_0000050	part of	UBERON_0000949	endocrine system	NCBITaxon_7954	Danio
UBERON_0004747	supraoccipital bone	Vertebrata	BFO_0000050	part of	UBERON_0004339	vault of skull	NCBITaxon_7954	Danio
UBERON_0004747	supraoccipital bone	Vertebrata	BFO_0000050	part of	UBERON_0001676	occipital bone	NCBITaxon_40674	Mammalia
UBERON_0000992	female gonad	Vertebrata	BSPO_0000126	in_lateral_side_of	UBERON_0003975	internal female genitalia	NCBITaxon_40674	Mammalia
UBERON_0000992	female gonad	Vertebrata	BFO_0000050	part of	UBERON_0000949	endocrine system	NCBITaxon_7954	Danio
UBERON_0001905	pineal body	Vertebrata	BFO_0000050	part of	UBERON_0002104	visual system	NCBITaxon_8353	Xenopus <genus>
UBERON_0001905	pineal body	Vertebrata	BFO_0000050	part of	UBERON_0001891	midbrain	NCBITaxon_8353	Xenopus <genus>
UBERON_0001905	pineal body	Vertebrata	BFO_0000050	part of	UBERON_0002104	visual system	NCBITaxon_7954	Danio
UBERON_0000111	organogenesis stage	Bilateria	BFO_0000050	part of	MmusDv_0000002	embryonic mouse stage (mouse)	NCBITaxon_10090	Mus musculus
UBERON_0000111	organogenesis stage	Bilateria	BFO_0000050	part of	HsapDv_0000002	embryonic human stage (human)	NCBITaxon_9606	Homo sapiens
UBERON_0000111	organogenesis stage	Bilateria	BFO_0000050	part of	RnorDv_0000003	embryonic stage (rat)	NCBITaxon_10116	Rattus norvegicus
